images,final dataset
000000053016.jpg,غابة بها بعض من الأشجار يسير بها عدد من الزرافات
000000053091.jpg,طبق ملون به أصناف منوعة مقطعة من الخضراوات
000000053142.jpg,اشارة ضوئية باللون الاخضر بجوار مبنى كبير
000000053236.jpg,طاولة طعام موضع عليها عدة أطباق وأكواب من القهوة و بجانبهم موضوع فازة لعباد الشمس
000000053330.jpg,مفترق طرق واشارة مرور حمراء
000000053385.jpg,لوحة والمفاتيح والفارة الخاصة بجهاز الحاسوب
000000053406.jpg,باص يمر بجوار بعض السيارات
000000053423.jpg,"شاطئ بحر طيني ويظهر آثار أقدام المارة، ولوح تزلج."
000000053426.jpg,مجموعة أفيال تشرب من إحدي البحيرات في الغابة.
000000053431.jpg,رجل جالس على مقعد على أحد الرصفان ويضع لابتوب على رجليه
000000053454.jpg,طائرة نفاثة حمراء في السماء
000000053455.jpg,رجل يسير على جبال جليدية ممسكاً بكلا يديه عصى
000000053457.jpg,قطة تجلس أعلي شاشة التلفاز.
000000053458.jpg,قطار يسير علي القضبان وقت الغروب وعلي جانبيه حشائش يابسة.
000000053491.jpg,طاولة موضوع عليها صينية بيتزا تُعد للطهي بجانب العديد من المكونات الآخرى
000000053503.jpg,مجموعه من الازهار الوردية اللون
000000053514.jpg,محطة قطار فارغة ومعلق بها ساعة كبيرة.
000000053533.jpg,قطار كهربائي  وسط الطريق بجوار مباني
000000053550.jpg,طفل صغير ينظر بجانبه وسط الغابة
000000053573.jpg,ساعة صغيرة على شكل تفاحة
000000053597.jpg,ثلاث زرافات وسط الأشجار والحطب
000000053616.jpg,مجموعه كبيرة من الدمي البنية
000000053640.jpg,طائر يقف على عمود خشبي
000000053662.jpg,زرافة تجري وخلفها شجر لا اوراق له.
000000053674.jpg,قطيع أغنام وسط أرض قافرة.
000000053684.jpg,قطار حديث يسير علي القضبان
000000053725.jpg,أشخاص يطيرون طائرات ورقية كبيرة ملونة في أرض واسعة.
000000053744.jpg,شرائح طماطم مقطعة وخس أخضر.
000000053748.jpg,أحد الزرافات تقف أمام سيارة للتجول داخل أحد الغابات
000000053897.jpg,طفلة صغيرة تبتسم جالسة تأكل البروكلي.
000000053907.jpg,بعض من الحمير الوحشية يركضون داخل مزرعة
000000053975.jpg,عربة بعجلات محمول فوقها حقائب سفر كثيرة.
000000053990.jpg,طفلة تجلس على الطاولة وتتناول قطعة من البيتزا
000000054007.jpg,شاب يرتدي قبعة زرقاء ويمسك اخشاب بيده
000000054013.jpg,اريكة بيضاء بجوار نافذة زجاجية
000000054038.jpg,أحد الزرافتان يقفان بجانب بعض الصخور
000000054071.jpg,مجموعة خراف وماعز تقف على تل صغير
000000054086.jpg,باص يسير في طريق وتسير خلفه سيارة سوداء
000000054092.jpg,صندوق طعام وفواكه وخبز وجزر
000000054118.jpg,طفل صغير يتمنى ركوب الطائرة
000000054141.jpg,قارب سريع فوق الماء ورجل يتزلج فوق الماء
000000054192.jpg,قارب ملون على جانب النهر
000000054229.jpg,غرفة تحضير الطعام موضوع بها موقد
000000054286.jpg,رجل يقود دراجة نارية حمراء بجانب سيارة حمراء وبعض السيارات الآخرى
000000054351.jpg,شاب يلعب بالمضرب التنس والكرة
000000054363.jpg,صحن يحتوي على تشكيلة خضار
000000054427.jpg,طفل صغير يلهو على لوح تزلج
000000054510.jpg,بعض من الطاولات المحاطة بالكراسي تطل على بحيرة داخلها مركبة
000000054513.jpg,ثلاث موزات في طبق وفوقهم كأسان زجاجيان.
000000054520.jpg,قطعة من البيتزا مقسومة لاجزاء
000000054594.jpg,مجموعة من الخراف و الاغنام في مرعى
000000054606.jpg,بيتزا مليئة بالجبن و الزيتون
000000054607.jpg,إشارة توقف معلقة علي سور  حديدي يعلو البحر.
000000054627.jpg,حديقة مليئة بالزرع بها عدد من الأحصنة البنية والبيضاء الللون يتغذون على الحشائش وبالجوار هناك عدد من الأشجار
000000054642.jpg,بحيرة يحيط بها سور يقف بالقرب منه طفل وينظر عالياً نحو بعض الطائرات الورقية المحلقة فالسماء
000000054736.jpg,قطار أصفر طويل يمتد أعلي الجسر. وبالخلف مساحات خضراء
000000054893.jpg,طائر ابيض يحلق فوق المياه
000000054912.jpg,قطار أزرق يمر وسط المرتفعات التي يعلوها الثلج.
000000054989.jpg,"طاولة مقدم عليها أطباق طعام، لحم وخبز وخضار وصلصة طماطم وكأس مياه."
000000054995.jpg,طفل صغير يأكل قطعة من الكيك.
000000055010.jpg,طبق به لحم و جزر
000000055017.jpg,شطائر خبزمحشوة باللحم والخضار وبعض البطاطس المحمرة مقدمة علي منضدة شبكية.
000000055049.jpg,طريق  علي جانبه إشارة توقف  وبعض الأشجار.
000000055076.jpg,غروب للشمس داخل مزرعة بها عدد من الخيول بعضهم يتغذى على الحشائش
000000055085.jpg,دب أسود يجلس علي أرض عشبية.
000000055119.jpg,اشخاص على شاطئ البحر وخيول
000000055139.jpg,بعض المراكب الموضوعة جنبا إلى جنب بالقرب من شاطئ البحر وبأحداهم يقف رجل
000000055272.jpg,بجعة تعوم في الماء الصافي.
000000055290.jpg,دمية  صغيرة موضوعة علي الأريكة.
000000055389.jpg,يد تمسك دميه صغيرة بنفسجية اللون
000000055402.jpg,بعض الزرافات تسير وسط الأشجار.
000000055447.jpg,رجل يقف بجوار أحد الخراف داخل حظيرة
000000055466.jpg,قطة تقف أمام جهاز حاسوب محمول موضوع فوق منضدة خشبية.
000000055469.jpg,دراجة نارية زرقاء اللون موضوعه أمام أحد المحال
000000055493.jpg,"مبني شاهق، يوجد ساعات كبيرة في أعلاه، وأمامه أشجار."
000000055514.jpg,رجل يقوم بالزلج فوق الجليد بجوار الاشجار
000000055534.jpg,طائر يقف علي غصن أحد الأشجار.
000000055559.jpg,طائرة برتقالية تحلق في السماء.
000000055569.jpg,طفلة صغيرة تأكل شطيرة وبجوارها طفل أصغر.
000000055585.jpg,رجال تقف في محطة القطار
000000055613.jpg,حقيبة سفر سوداء مفتوحة وموضوعة بالجانب
000000055630.jpg,قطة بنية اللون مستلقية داخل إناء على منضدة
000000055641.jpg,"رجل اعمال صيانة على الطريق،"
000000055645.jpg,هرة كبيرة تقف بجوار شجرة
000000055652.jpg,طائر ملون يقف على فرع شجرة
000000055694.jpg,أثنان من البقر  أحدهم جالس على الأرض ومحاطين بالعديد من الجبال الزراعية
000000055707.jpg,طاولة موضوع عليها طبقان احدهم به بيتزا مليئة بالجبن و الآخر مكرونة
000000055805.jpg,رجل ممسك بيديه ثمرة موز صغيرة
000000055860.jpg,بحيرة بها جسر وبالخلف يتواجد بعض المباني
000000055868.jpg,مجموعة مراكب تصطف علي حافة الماء وطائر يقف علي الممر.
000000055873.jpg,"صحن به أصناف متنوعة من الفاكهة المقسمة إلى شرائح كالبرتقال، التفاح، العنب وغيرها"
000000055891.jpg,طاولة طعام موضوع بها كثير من أصناف الطعام المتنوعة و يجلس عليها بعض الأشخاص
000000055897.jpg,طفلة تطعم حصان في مزرعة
000000055915.jpg,رجل مُسن يجلس على مقعد داخل حديقة
000000055981.jpg,فتاة تقف على السلم ممسكة بيديها حقيبه سفر واليد الآخرى تضعها في فمها
000000056013.jpg,حقائب وأكياس معلقة بداخل نقالة.
000000056033.jpg,باص مدرسي أزرق اللون يقف على جانب الطريق
000000056049.jpg,"مجموعة بيوت وسط مزارع خضراء،وحصانان."
000000056092.jpg,أثنان من الخيول يركضان محاطين بسور خشبي
000000056108.jpg,صالة منزل مضاءة بها طاولة وكراسي وساعة معلقة فوق مكتب.
000000056118.jpg,متزلج يسير على مساعد الدرج المعدني
000000056134.jpg,شجرة مليئة بالعصافير الواقفة على فروعها
000000056137.jpg,اصناف كثير من الفاكهة الموضوعة للبيع ومكتوب على كل منهم سعره
000000056145.jpg,مجموعة مراكب شراعية ترسو في الميناء بالماء.
000000056201.jpg,صحن يحتوي على خضار معد للاكل
000000056226.jpg,بعض من الحقائب الموضوعة فوق بعضها البعض
000000056266.jpg,طبق تقديم به شرائح خبز عليها صلصة وخضرة وبجوارها كأس عصير.
000000056323.jpg,محطة قطار بها قطاران متوازيان وأشخاص واقفون.
000000056326.jpg,"طبق أبيض به أرز وقطع لحم وجزر مقطع، وشوكة وملعقة."
000000056330.jpg,حصان يقف وسط مزرعه كبيرة خضراء
000000056341.jpg,صالة جلوس بها أريكة ومقاعد ومدفأة نارية وبعض الرسومات معلقة علي الحائط بجوار الزرع.
000000056362.jpg,أربعة أحصنة تسير علي شاطئ البحر.
000000056432.jpg,سيارات علي الطريق وإشارة المرور حمراء ورجل المرور واقف  والجو يمطر ثلجا
000000056433.jpg,طفلة صغيرة تمسك جهاز حاسوب اسود
000000056442.jpg,ثمرة من الجزر موضوعة بجانب سكين
000000056486.jpg,بيتزا عليها جبن وشرائح زيتون وغيره.
000000056549.jpg,سيارة كلاسيكية معدلة ومحدثة بين مجموعة من السيارات
000000056562.jpg,طائر يقف على حافة مركبة تسير داخل البحر ومقيده بالحبال
000000056580.jpg,سيارة زرقاء من الطراز القديم وعلي الجانب لافتة توقف وأمامها بيوت وأشجار.
000000056599.jpg,طفل يركض داخل حديقة ممسكاً مظلة
000000056624.jpg,الأرض مغطاة بالجليد وأيضا الأشجار والمقعد.
000000056641.jpg,اوراق الاشجار الجافة متساقطة على طول الطريق
000000056652.jpg,طائرة ملونة يتم اللعب بها في حديقة.
000000056680.jpg,قطار يسير على القضبان في وسط غابة مليئة بالاشجار والزرع
000000056705.jpg,عربة محرك قطار احمر اللون على السكة
000000056714.jpg,"بعض من ثمار الفاكهة كالموزر، التفاح والبرتقال"
000000056752.jpg,رجل يقود دراجة هوائية بجوار النهر
000000056768.jpg,زرافتين واقفتان خلف سور حديدي وأمامهما صخور. وسط الغابة المشجرة.
000000056784.jpg,ثلاث ثمار من فاكهة الموز
000000056891.jpg,حصان يأكل من أرض بها أعشاب صغيرة وخلفة مساحة كبيرة.
000000056896.jpg,ستائر ملونة وشباك كبير وشاشة حاسوب
000000056910.jpg,مرآة فوق مغسلة وادوات تنظيف
000000056928.jpg,حديقة موضوع بها العديد من المظلات الملونة وبجانبها مقعد يجلس عليه بعض الاشخاص
000000056963.jpg,طائرة صغيرة في مهبط الطائرات
000000057005.jpg,دراجة بخارية تحت نافذة زجاجية وباب احمر
000000057088.jpg,ثلاث باصات باللون الأحمر تسير بجوار بعضها
000000057201.jpg,أحد البطات تسبح داخل الماء
000000057249.jpg,ادوات ومعجون تنظيف والعناية بالفم و الاسنان
000000057283.jpg,طفلة صغيرة ترتدي ملابس حمراء وتجلس أمام طاولة و تمسك بأحدى يديها شطيرة والآخرى تضعها على فمها
000000057377.jpg,جبال عليها نباتات وأشجار خضراء وبأسفلها سهل مياه.
000000057381.jpg,دراجة نارية أمام سيارة سوداء  في حديقة أحد البيوت.
000000057390.jpg,طائر صغير يقف بجوار نافذة
000000057424.jpg,حديقة بها بعض الأشخاص يشاهدون طائرة ورقية محلقة فالسماء
000000057424.jpg,حديقة بها بعض الأشخاص والأطفال يلهون بطائرات ورقية
000000057548.jpg,اثنان من صغار الخرفان يقفون في مزرعة
000000057676.jpg,سفن ومراكب ترسو في ميناء أحد المسطحات وعلي الجانب مظلات زرقاء علي أرض رملية.
000000057750.jpg,رجل ذو لحية بيضاء كثيفة  يجلس  ممسكا بساعة حائط وسط حديقة ما.
000000057770.jpg,شاحنة بيضاء وسط الطريق تقف
000000057870.jpg,منضدة طويلة حولها عدة كراسي  وفي منتصفها مزهرية.
000000057901.jpg,بعض من المراكب والسفن الموضوع عليها المظلات
000000057917.jpg,شجرة كبير في غابة بجانبها مقعد
